번호,회계구분,부서명,세부사업명,통계목,지급일자,사업개요,지출액
1,일반회계,가정복지과,보육교직원 처우개선 지원(근무환경개선비),사회복지시설법정운영비보조,2022-12-30,2022년도 12월 구립어린이집 교사근무환경개선비 지급,"         110,520,000"
2,일반회계,가정복지과,시설관리공단 운영 지원(가정복지과),공사ㆍ공단경상전출금,2022-12-30,2022년 10~12월 용두문화복지센터 대행사업비 교부,"         -15,920,946"
3,일반회계,가정복지과,시설관리공단 운영 지원(가정복지과),공사ㆍ공단경상전출금,2022-12-30,2022년 11~12월 동대문구민행복센터 운영비 지급,"         -17,786,513"
4,일반회계,가정복지과,대체교사 인건비 지원,사회복지시설법정운영비보조,2022-12-29,2022년12월 대체교사 인건비지원 보조금 (추가신청분)교부,"             784,260"
5,일반회계,가정복지과,여성복지 지원,민간위탁금,2022-12-28,2022 동대문여성아카데미 운영비 교부,"          -3,012,490"
6,일반회계,가정복지과,구립어린이집 확충,시설비,2022-12-28,휘경스마일 화재안전성능보강공사 관급자재 구매(추가 2차)-완납금지급,"             116,900"
7,일반회계,가정복지과,구립어린이집 확충,시설비,2022-12-28,휘경스마일 화재안전성능보강공사 관급자재 구매(추가2차)-완납금지급,"           1,262,770"
8,일반회계,가정복지과,구립어린이집 확충,시설비,2022-12-28,휘경스마일어린이집 화재안전성능보강공사 관급자재 구매(추가)-완납금지급,"           3,323,220"
9,일반회계,가정복지과,구립어린이집 확충,시설비,2022-12-28,휘경스마일어린이집 화재안전성능보강공사 관급자재 구매-완납금지급,"          53,742,520"
10,일반회계,가정복지과,구립어린이집 확충,시설비,2022-12-28,휘경스마일어린이집 화재안전성능보강공사-노무비지급,"          10,285,000"
11,일반회계,가정복지과,보육교직원 처우개선 지원(처우개선 지원 등),사회복지시설법정운영비보조,2022-12-28,2022년도 10월 구립어린이집 보육교직원 처우개선비 지급,"            -145,000"
12,일반회계,가정복지과,CPTED로 안전한 우리동네,시설비,2022-12-28,CPTED로 안전한 우리동네-LED 반사경 구매설치-완납금지급,"          18,660,000"
13,일반회계,가정복지과,공동육아활성화 사업,시설비,2022-12-27,"공동육아방 시설 보수공사(답2,배봉,장안1)-준공금지급","          16,720,000"
14,일반회계,가정복지과,어린이집 운영지원(운영비 등),사회복지시설법정운영비보조,2022-12-27,어린이집 재능기부자 기본교육 12월 활동비 지급,"              80,000"
15,일반회계,가정복지과,일반 영유아 복지 지원,시책추진업무추진비,2022-12-26,2022년 가정복지과 시책추진 업무추진비 지급,"              93,000"
16,일반회계,가정복지과,일반 영유아 복지 지원,시책추진업무추진비,2022-12-26,2022년 가정복지과 시책추진 업무추진비 지급,"              57,000"
17,일반회계,가정복지과,구립어린이집 보수비 지원,시책추진업무추진비,2022-12-26,2022년 어린이집 보수에 따른 업무추진비 지급,"              24,000"
18,일반회계,가정복지과,기본경비(복지정책과),사무관리비,2022-12-26,보육기획팀 현안업무수행 특근매식비 지급(12월),"              48,000"
19,일반회계,가정복지과,기본경비(복지정책과),사무관리비,2022-12-26,보육기획팀 현안업무수행 특근매식비 지급(12월),"              64,000"
20,일반회계,가정복지과,기본경비(복지정책과),사무관리비,2022-12-26,보육지원팀 현안업무수행 특근매식비 지급(12월),"             280,000"
21,일반회계,가정복지과,기본경비(복지정책과),사무관리비,2022-12-26,출산다문화팀 현안업무수행 특근매식비 지급(12월),"             280,000"
22,일반회계,가정복지과,기본경비(복지정책과),국내여비,2022-12-26,가정복지과 현안·기본업무수행 국내여비 지급(12월),"             790,000"
23,일반회계,가정복지과,기본경비(가정복지과),사무관리비,2022-12-26,가정복지과 12월 제설작업에 따른 특근매식비 지급,"              64,000"
24,일반회계,가정복지과,기본경비(가정복지과),사무관리비,2022-12-26,보육기획팀 기본업무수행 특근매식비 지급(12월),"             440,000"
25,일반회계,가정복지과,기본경비(가정복지과),사무관리비,2022-12-26,보육지원팀 기본업무수행 특근매식비 지급(12월),"             264,000"
26,일반회계,가정복지과,기본경비(가정복지과),사무관리비,2022-12-26,출산다문화팀 기본업무수행 특근매식비 지급(12월),"             240,000"
27,일반회계,가정복지과,기본경비(가정복지과),부서운영업무추진비,2022-12-26,가정복지과 부서운영에 따른 업무추진비 지급,"             278,000"
28,일반회계,가정복지과,다문화가족 및 거주외국인 지원,사무관리비,2022-12-26,다문화가족 외국인을 위한 생활 안내 리플릿 비용 지급,"           2,960,000"
29,일반회계,가정복지과,대외평가 총괄관리,시책추진업무추진비,2022-12-26,현안업무 수행 직원 격려에 따른 업무추진비 지급,"             960,000"
30,일반회계,가정복지과,보육교직원 처우개선 지원(근무환경개선비),사회복지시설법정운영비보조,2022-12-26,2022년 12월 동대문구육아종합지원센터 대체교사 및 시간제교사 교사근무환경개선비 교부,"           4,680,000"
31,일반회계,가정복지과,아이돌봄지원,사회복지시설법정운영비보조,2022-12-26,2022년 4분기 2차 아이돌봄지원사업 운영보조금 교부,"          93,020,000"
32,일반회계,가정복지과,아이돌봄지원,사회복지시설법정운영비보조,2022-12-26,2022년 4분기 2차 아이돌봄지원사업 정부지원금 예탁,"          19,240,000"
33,일반회계,가정복지과,아이돌봄지원,사회복지시설법정운영비보조,2022-12-26,2022년 4분기 3차 아이돌봄지원사업 운영보조금 교부,"          60,000,000"
34,일반회계,가정복지과,여성친화도시 조성,시책추진업무추진비,2022-12-26,여성친화도시 조성을 위한 시책업무추진비 지급,"             270,000"
35,일반회계,가정복지과,대체교사 인건비 지원,사회복지시설법정운영비보조,2022-12-26,2022년 11월12월 대체교사 인건비지원 보조금 교부,"          24,312,060"
36,일반회계,가정복지과,대체교사 인건비 지원,사회복지시설법정운영비보조,2022-12-26,2022년 11월12월 대체교사 인건비지원 보조금 교부,"          18,255,810"
37,일반회계,가정복지과,CPTED로 안전한 우리동네,시책추진업무추진비,2022-12-26,CPTED로 안전한 우리동네를 위한 업무추진비 지급,"             400,000"
38,일반회계,가정복지과,일반 영유아 복지 지원,시책추진업무추진비,2022-12-23,2022년 가정복지과 시책추진 업무추진비 지급,"             167,000"
39,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 냉난방비 구비100,"           4,150,000"
40,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 영아간식비 구비100,"           5,185,600"
41,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 유아간식비 구비100,"           2,600,840"
42,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 취사부인건비(비서울형) 구비100,"           4,800,000"
43,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-냉난방비,"          10,625,000"
44,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-영아간식비(구비),"          15,444,800"
45,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-유아간식비(구비),"           2,600,840"
46,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-취사부인건비(비서울형),"          18,900,000"
47,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-취사부인건비(서울형) - 40인미만,"           1,500,000"
48,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,"2022년 보육지원팀 12월 어린이집(민간1~3,법인,방과후) 교직원 복리후생비 처우개선비 등 지급 - 근속수당 전액구비","           4,720,000"
49,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,"2022년 보육지원팀 12월 어린이집(민간1~3,법인,방과후) 교직원 복리후생비 처우개선비 등 지급 - 원장연구개발비 전액구비","           1,920,000"
50,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,"2022년 보육지원팀 12월 어린이집(민간1~3,법인,방과후) 교직원 복리후생비 처우개선비 등 지급- 복리후생비 구비100","          13,300,000"
51,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,"2022년 보육지원팀 12월 어린이집(민간4~6지구,가정,직장) 교직원 복리후생비 처우개선비 등 지급-근속수당","           7,610,000"
52,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,"2022년 보육지원팀 12월 어린이집(민간4~6지구,가정,직장) 교직원 복리후생비 처우개선비 등 지급-복리후생비","          25,400,000"
53,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,"2022년 보육지원팀 12월 어린이집(민간4~6지구,가정,직장) 교직원 복리후생비 처우개선비 등 지급-원장연구개발비","           5,600,000"
54,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 냉난방비 지급,"          12,125,000"
55,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 영아간식비 지급,"          20,697,600"
56,일반회계,가정복지과,일반 영유아 복지 지원,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 유아간식비 지급,"           6,537,520"
57,일반회계,가정복지과,일반 영유아 복지 지원,사회복지사업보조,2022-12-23,2022년 보육교직원 연수비 지급(법인단체연합회)2차,"             500,000"
58,일반회계,가정복지과,기본경비(복지정책과),사무관리비,2022-12-23,여성정책팀 현안업무수행 특근매식비 지급(12월),"             352,000"
59,일반회계,가정복지과,여성복지 지원,사무관리비,2022-12-23,2022년 전직원 4대폭력 예방교육 현수막 및 배너 제작 구매비 지급,"             176,000"
60,일반회계,가정복지과,여성복지 지원,사무관리비,2022-12-23,여성복지관 교육 및 사무용품 구입비 지급,"             358,000"
61,일반회계,가정복지과,여성복지 지원,공공운영비,2022-12-23,2022년 12월 여성복지관 전기요금 납부,"             323,200"
62,일반회계,가정복지과,여성복지 지원,공공운영비,2022-12-23,여성복지관 가스식시스템에어컨 수리비 지급,"             927,000"
63,일반회계,가정복지과,여성복지 지원,시책추진업무추진비,2022-12-23,여성복지지원을 위한 시책업무추진비 지급,"             260,000"
64,일반회계,가정복지과,구청 직장어린이집 운영 지원,민간위탁금,2022-12-23,2022년 12월 동대문구청 직장어린이집 운영비 지급,"          21,703,520"
65,일반회계,가정복지과,어린이집 운영개선,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 공기청정기관리비 7:3,"           3,618,010"
66,일반회계,가정복지과,어린이집 운영개선,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 방과후어린이집 운영비 5:5,"           6,900,000"
67,일반회계,가정복지과,어린이집 운영개선,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 장애아교재교구비 5:5,"             315,000"
68,일반회계,가정복지과,어린이집 운영개선,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급 - 장애아보육도우미 5:5,"           1,511,980"
69,일반회계,가정복지과,어린이집 운영개선,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간1~3·법인·방과후) 보조금 지급- 방과후 보조교사 인건비 5:5,"           1,800,000"
70,일반회계,가정복지과,어린이집 운영개선,사회복지시설법정운영비보조,2022-12-23,2022년 12월 보육지원팀 어린이집(민간4~6구역·가정·직장) 보조금 지급-공기청정기관리비,"           9,628,670"
71,일반회계,가정복지과,어린이집 운영개선,사회복지시설법정운영비보조,2022-12-23,"2022년 보육지원팀 12월 어린이집(민간1~3,법인,방과후) 교직원 복리후생비 처우개선비 등 지급 - 방과후교사 처우개선 50:50","             600,000"
72,일반회계,가정복지과,어린이집 운영개선,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 공기청정기 관리운영비 지급,"           9,909,820"
73,일반회계,가정복지과,어린이집 운영개선,사회복지시설법정운영비보조,2022-12-23,2022년도 12월 구립어린이집 장애통합어린이집 운영비 지급,"           5,123,940"
