번호,회계구분,부서명,세부사업명,통계목,지급일자,사업개요,지출액
1,일반회계,가족정책과,동물보호사업 추진,민간위탁금,2022-12-28,2022년 12월 유기동물 보호관리 민간위탁비용 지급,"           2,814,000"
2,일반회계,가족정책과,첫만남 이용권 지원,사회보장적수혜금,2022-12-28,2022년 첫만남 이용권 사업 4차 예탁금 지급,"         381,329,000"
3,일반회계,가족정책과,아동학대조사 시설조성 및 장비 구입,사무관리비,2022-12-28,2022년 아동학대조사 녹취록 장비 구매,"           9,048,600"
4,일반회계,가족정책과,동물보호사업 추진,사무관리비,2022-12-27,2022년 TNR 동물병원 인수공통감염병 모니터링 비용 지급,"             192,000"
5,일반회계,가족정책과,동물보호사업 추진,사무관리비,2022-12-27,2022년 인수공통감염병 모니터링 비용 지급(동물보호센터),"             283,000"
6,일반회계,가족정책과,기본경비,국내여비,2022-12-27,"2022년 12월분 아동복지교사 인건비(국,시비 재배정 및 구비) 지급","              40,000"
7,일반회계,가족정책과,여성안전지원사업,기간제근로자등보수,2022-12-27,2022년 12월 안심이(CCTV 야간관제) 기간제근로자 급여 및 보험료 지출,"           6,474,720"
8,일반회계,가족정책과,아동건전육성,기타보상금,2022-12-27,찾아가는 1대1 양육멘토링사업 활동위원 활동경비 지급,"             660,000"
9,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),시ㆍ도비보조금반환금,2022-12-27,과년도 가정폭력 피해자 지원사업(이주여성) 잔액 및 이자발생액 반납,"           2,716,470"
10,일반회계,가족정책과,국·시비보조금 집행잔액 반환(가족정책과),시ㆍ도비보조금반환금,2022-12-27,과년도 한부모가족복지시설 보조금 잔액 반납(수정),"             647,500"
11,일반회계,가족정책과,인력운영비,공무직(무기계약)근로자보수,2022-12-27,"2022년 12월분 아동복지교사 인건비(국,시비 재배정 및 구비) 지급","             174,900"
12,일반회계,가족정책과,야생견 없는 안전한 은평 만들기,기간제근로자등보수,2022-12-27,2022년 12월 동물보호 현장출동반 기간제근로자 급여 및 보험료 지급,"           6,479,450"
13,일반회계,가족정책과,야생견 없는 안전한 은평 만들기,공공운영비,2022-12-27,반려동물팀 차량 유류비 지급,"              31,560"
14,일반회계,가족정책과,아동권리 모니터단 운영,사무관리비,2022-12-27,2022. 아동권리 모니터단 업무 추진 사무용품 구입비 지급,"             285,000"
15,일반회계,가족정책과,아동권리 모니터단 운영,행사실비지원금,2022-12-27,아동권리모니터단 멘토 활동비 지급,"             360,000"
