번호,회계구분,부서명,세부사업명,통계목,지급일자,사업개요,지출액
1,일반회계,여성가족과,어린이집 행사지원 및 운영 지도관리,사무관리비,2022-12-30,2022년 국공립어린이집 모범 보육교직원 표창장 제작구매,"             330,000"
2,일반회계,여성가족과,어린이집 행사지원 및 운영 지도관리,사무관리비,2022-12-30,국공립어린이집 퇴임 보육교직원 공로패 제작구매,"             255,000"
3,일반회계,여성가족과,어린이집 행사지원 및 운영 지도관리,사무관리비,2022-12-30,국공립어린이집 퇴임 원장 공로패 제작구매,"             240,000"
4,일반회계,여성가족과,어린이집 행사지원 및 운영 지도관리,민간행사사업보조,2022-12-30,2022년 보육교직원 연수비 지원(서울시),"          32,440,000"
5,일반회계,여성가족과,양성평등정책 기반조성,사무관리비,2022-12-30,2022년 외국인주민 및 다문화가족지원 협의회 참석수당,"             210,000"
6,일반회계,여성가족과,기본경비,사무관리비,2022-12-30,부서환경개선을 위한 물품 구매비 지출,"              90,000"
7,일반회계,여성가족과,기본경비,국내여비,2022-12-30,2022년 12월분 기본업무추진여비 지급,"              30,000"
8,일반회계,여성가족과,기본경비,정원가산업무추진비,2022-12-30,부서 직원 격려를 위한 간담회비 지급,"             194,000"
9,일반회계,여성가족과,국공립어린이집 환경개선,시책추진업무추진비,2022-12-30,국공립어린이집 환경개선 관련 간담회비 지급,"             203,700"
10,일반회계,여성가족과,국공립어린이집 운영지원,시책추진업무추진비,2022-12-30,국공립어린이집 운영지원 관련 간담회비 지급,"             300,900"
11,일반회계,여성가족과,지역 드림스타트 통합사례관리 지원,사무관리비,2022-12-30,2022년 12월 드림스타트 아동통합사례관리사 특근매식비 지출,"             304,000"
12,일반회계,여성가족과,지역 드림스타트 통합사례관리 지원,국내여비,2022-12-30,2022년 12월 드림스타트 아동통합사례관리사 출장여비 지출,"             800,000"
13,일반회계,여성가족과,지역 드림스타트 통합사례관리 지원,행사실비지원금,2022-12-30,드림스타트 굿바이드림 관련 물품 구매비 지출,"             765,750"
14,일반회계,여성가족과,국공립어린이집 확충,민간위탁사업비,2022-12-30,국공립어린이집 전환 리모델링비 교부(킨더빌어린이집),"          98,450,000"
15,일반회계,여성가족과,국·시·도비 보조금 반환,국고보조금반환금,2022-12-30,2022년 건강가정지원센터 운영 발생이자(국비보조금) 반납,"              12,070"
16,일반회계,여성가족과,국·시·도비 보조금 반환,시ㆍ도비보조금반환금,2022-12-30,2021년  건강가정지원센터 운영 시비보조금 집행잔액 반납,"           1,589,190"
17,일반회계,여성가족과,국·시·도비 보조금 반환,시ㆍ도비보조금반환금,2022-12-30,2021년 1인가구지원센터 운영 집행잔액(시비보조금) 반납,"             609,270"
18,일반회계,여성가족과,국·시·도비 보조금 반환,시ㆍ도비보조금반환금,2022-12-30,2021년 1인가구지원센터 운영지원 발생이자(시비보조금) 반납,"              10,890"
19,일반회계,여성가족과,국·시·도비 보조금 반환,시ㆍ도비보조금반환금,2022-12-30,2021년 건강가정지원센터 운영 시비보조금 발생이자 반납,"              22,000"
20,일반회계,여성가족과,국·시·도비 보조금 반환,시ㆍ도비보조금반환금,2022-12-30,2021년 다문화가족지원센터 운영 시비보조금 발생이자 반납,"              28,170"
21,일반회계,여성가족과,인력운영비(지역 드림스타트 통합사례관리사),공무직(무기계약)근로자보수,2022-12-30,드림스타트 아동통합사례관리사 12월 시간외수당 지출,"             838,260"
22,일반회계,여성가족과,인력운영비(지역 드림스타트 통합사례관리사),공무직(무기계약)근로자보수,2022-12-30,드림스타트 아동통합사례관리사 연차수당 지급,"           1,539,930"
23,일반회계,여성가족과,보호대상아동 사업 지원,사무관리비,2022-12-30,아동보호를 위한 위원회 운영 물풀 구매,"             540,600"
24,일반회계,여성가족과,보호대상아동 사업 지원,사무관리비,2022-12-30,아동보호를 위한 위원회 운영 물풀 구매,"             259,710"
25,일반회계,여성가족과,양성평등정책 기반조성,시책추진업무추진비,2022-12-29,양성평등정책 업무추진 관계자 간담회비 지급,"               6,400"
26,일반회계,여성가족과,건강가정지원센터 운영지원,민간위탁금,2022-12-29,2022년 3분기 건강가정지원센터 운영지원 보조금 지출,"         -24,578,160"
27,일반회계,여성가족과,기본경비,사무관리비,2022-12-29,2022년 12월분 기본업무추진 급량비 지급,"           3,160,000"
28,일반회계,여성가족과,기본경비,국내여비,2022-12-29,2022년 12월분 기본업무추진여비 지급,"           5,010,000"
29,일반회계,여성가족과,기본경비,부서운영업무추진비,2022-12-29,부서 직원 격려를 위한 간담회비 지급,"             240,000"
